Training model...
step: 151, nll_train: 8.642204, rec_acc_eval: 0.728
step: 152, nll_train: 8.841316, rec_acc_eval: 0.727
step: 153, nll_train: 8.607589, rec_acc_eval: 0.730
step: 154, nll_train: 8.710896, rec_acc_eval: 0.733
step: 155, nll_train: 8.513317, rec_acc_eval: 0.735
step: 156, nll_train: 8.812078, rec_acc_eval: 0.734
step: 157, nll_train: 8.722836, rec_acc_eval: 0.735
step: 158, nll_train: 8.586805, rec_acc_eval: 0.730
step: 159, nll_train: 8.649563, rec_acc_eval: 0.733
step: 160, nll_train: 8.684833, rec_acc_eval: 0.738
step: 161, nll_train: 8.883499, rec_acc_eval: 0.741
step: 162, nll_train: 8.508020, rec_acc_eval: 0.742
step: 163, nll_train: 8.482134, rec_acc_eval: 0.740
step: 164, nll_train: 8.750937, rec_acc_eval: 0.746
step: 165, nll_train: 8.440099, rec_acc_eval: 0.740
step: 166, nll_train: 8.587823, rec_acc_eval: 0.735
step: 167, nll_train: 8.472781, rec_acc_eval: 0.736
step: 168, nll_train: 8.556931, rec_acc_eval: 0.737
step: 169, nll_train: 8.364177, rec_acc_eval: 0.739
step: 170, nll_train: 8.063999, rec_acc_eval: 0.742
step: 171, nll_train: 8.270831, rec_acc_eval: 0.741
step: 172, nll_train: 8.492159, rec_acc_eval: 0.745
step: 173, nll_train: 8.378187, rec_acc_eval: 0.748
step: 174, nll_train: 8.294493, rec_acc_eval: 0.751
step: 175, nll_train: 8.301386, rec_acc_eval: 0.745
step: 176, nll_train: 8.410049, rec_acc_eval: 0.743
step: 177, nll_train: 8.133089, rec_acc_eval: 0.748
step: 178, nll_train: 8.295347, rec_acc_eval: 0.739
step: 179, nll_train: 8.304892, rec_acc_eval: 0.734
step: 180, nll_train: 8.231116, rec_acc_eval: 0.736
step: 181, nll_train: 8.335492, rec_acc_eval: 0.750
step: 182, nll_train: 8.237361, rec_acc_eval: 0.753
step: 183, nll_train: 7.970057, rec_acc_eval: 0.750
step: 184, nll_train: 8.098648, rec_acc_eval: 0.750
step: 185, nll_train: 8.306505, rec_acc_eval: 0.751
step: 186, nll_train: 8.316538, rec_acc_eval: 0.749
step: 187, nll_train: 8.125076, rec_acc_eval: 0.748
step: 188, nll_train: 8.094586, rec_acc_eval: 0.744
step: 189, nll_train: 8.362499, rec_acc_eval: 0.740
step: 190, nll_train: 8.142801, rec_acc_eval: 0.749
step: 191, nll_train: 8.115337, rec_acc_eval: 0.754
step: 192, nll_train: 7.912976, rec_acc_eval: 0.755
step: 193, nll_train: 8.092318, rec_acc_eval: 0.759
step: 194, nll_train: 7.974988, rec_acc_eval: 0.753
step: 195, nll_train: 7.907936, rec_acc_eval: 0.751
step: 196, nll_train: 7.992896, rec_acc_eval: 0.750
step: 197, nll_train: 8.086633, rec_acc_eval: 0.751
step: 198, nll_train: 8.218092, rec_acc_eval: 0.749
step: 199, nll_train: 8.060465, rec_acc_eval: 0.752
step: 200, nll_train: 8.154676, rec_acc_eval: 0.755
step: 201, nll_train: 8.224735, rec_acc_eval: 0.761
step: 202, nll_train: 8.129475, rec_acc_eval: 0.761
