run_id,learning_rate,hidden_dim,latent_dim,iterations,beta_b,beta_z,prior_rate,seg_acc,skill_acc,l2_distance
39,0.0001,128,8,10000,0.5,1.0,3.0,0.5210843373493976,0.35943775100401604,6.768300351669784
40,0.0001,128,8,10000,0.5,1.0,4.0,0.5381944444444444,0.359375,6.139990139081864
41,0.0001,128,8,10000,0.5,1.0,5.0,0.5566666666666666,0.37166666666666665,5.436733599851901
42,0.0001,128,8,10000,1.0,0.5,3.0,0.5203488372093024,0.34593023255813954,6.865355345262002
43,0.0001,128,8,10000,1.0,0.5,4.0,0.7065217391304348,0.34299516908212563,3.1197699004249952
44,0.0001,128,8,10000,1.0,0.5,5.0,0.7578125,0.3424479166666667,2.581131908801415
45,0.0001,128,8,10000,1.0,1.0,3.0,0.5227272727272727,0.354978354978355,7.2192606687957595
46,0.0001,128,8,10000,1.0,1.0,4.0,0.5283333333333333,0.3516666666666667,6.444621448135834
47,0.0001,128,8,10000,1.0,1.0,5.0,0.545,0.37333333333333335,5.531042220006363
48,0.0001,128,8,50000,0.5,0.5,3.0,0.5932835820895522,0.3451492537313433,4.958207780717152
49,0.0001,128,8,50000,0.5,0.5,4.0,0.681640625,0.3658854166666667,3.4190252728513113
50,0.0001,128,8,50000,0.5,0.5,5.0,0.7739130434782608,0.3565217391304348,2.52385551962699
51,0.0001,128,8,50000,0.5,1.0,3.0,0.5289473684210526,0.35,6.697620625995724
52,0.0001,128,8,50000,0.5,1.0,4.0,0.5297202797202797,0.36538461538461536,6.140871409893324
53,0.0001,128,8,50000,0.5,1.0,5.0,0.5566666666666666,0.3622222222222222,5.419033445917019
54,0.0001,128,8,50000,1.0,0.5,3.0,0.5160256410256411,0.3611111111111111,6.644600454120878
55,0.0001,128,8,50000,1.0,0.5,4.0,0.6812977099236641,0.3746819338422392,3.537957704916166
56,0.0001,128,8,50000,1.0,0.5,5.0,0.7883211678832117,0.3613138686131387,2.2728013599023313
57,0.0001,128,8,50000,1.0,1.0,3.0,0.5222222222222223,0.35185185185185186,6.920682635877546
58,0.0001,128,8,50000,1.0,1.0,4.0,0.53,0.3511111111111111,6.396556086067182
59,0.0001,128,8,50000,1.0,1.0,5.0,0.5366666666666666,0.36277777777777775,5.568591043735206
60,0.0001,128,16,100,0.5,0.5,3.0,0.54296875,0.3430989583333333,6.364958594484559
61,0.0001,128,16,100,0.5,0.5,4.0,0.5782312925170068,0.33956916099773243,5.394573712103903
62,0.0001,128,16,100,0.5,0.5,5.0,0.645,0.35777777777777775,4.044865638577553
63,0.0001,128,16,100,0.5,1.0,3.0,0.5435606060606061,0.3371212121212121,6.381043058509449
